;movie_code;duration;facenumber_in_poster;country;budget;gross;num_voted_users;num_user_for_reviews;num_critic_for_reviews;movie_facebook_likes;director_facebook_likes;actor_1_facebook_likes;actor_2_facebook_likes;actor_3_facebook_likes;cast_total_facebook_likes;imdb_score;imdb_score_class
216;217;125.0;3.0;USA;125000000.0;107285004.0;189855;1018.0;183.0;0;541.0;920.0;890.0;409.0;2699;3.7;Bad
98;99;182.0;;USA;180000000.0;303001229.0;637246;1367.0;645.0;166000;0.0;5000.0;972.0;773.0;9152;7.9;Good
1694;1695;93.0;0.0;USA;30000000.0;14888028.0;28606;262.0;140.0;0;2.0;849.0;787.0;258.0;2178;5.1;Fair
3143;3144;129.0;1.0;USA;10000000.0;16153600.0;8295;30.0;23.0;720;0.0;18000.0;269.0;203.0;19065;6.5;Good
3082;3083;99.0;2.0;USA;10500000.0;125169.0;859;31.0;5.0;119;11.0;665.0;446.0;327.0;2272;6.4;Good
606;607;136.0;2.0;USA;70000000.0;52474616.0;84118;245.0;297.0;13000;0.0;903.0;592.0;17.0;1579;6.3;Good
106;107;93.0;2.0;USA;160000000.0;320706665.0;211971;326.0;227.0;0;50.0;3000.0;795.0;692.0;4705;6.1;Good
977;978;113.0;7.0;USA;50000000.0;56724080.0;172112;181.0;291.0;39000;22.0;3000.0;1000.0;1000.0;8398;6.7;Good
2916;2917;130.0;0.0;USA;8000000.0;260000000.0;412454;962.0;385.0;21000;14000.0;813.0;559.0;366.0;2047;8.0;Good
4331;4332;87.0;3.0;USA;2000000.0;;4204;19.0;9.0;0;8.0;34000.0;463.0;424.0;35796;6.6;Good
1661;1662;100.0;1.0;USA;30000000.0;35266619.0;108242;371.0;359.0;39000;108.0;17000.0;2000.0;534.0;20051;5.9;Fair
2467;2468;121.0;2.0;Spain;11350000.0;229311.0;899;42.0;10.0;271;0.0;854.0;578.0;353.0;2705;6.2;Good
4370;4371;113.0;0.0;USA;1800000.0;;6267;103.0;53.0;368;15.0;647.0;642.0;491.0;2439;5.3;Fair
4760;4761;87.0;0.0;USA;100000.0;;601;10.0;24.0;22;395.0;991.0;946.0;637.0;3309;6.6;Good
2232;2233;90.0;0.0;USA;20000000.0;25077977.0;10986;84.0;84.0;0;0.0;681.0;611.0;518.0;2486;5.3;Fair
3718;3719;110.0;0.0;UK;5000000.0;21994911.0;98354;433.0;151.0;0;335.0;838.0;203.0;34.0;1122;7.7;Good
1302;1303;101.0;1.0;UK;42000000.0;13208023.0;17309;388.0;104.0;612;37.0;2000.0;886.0;595.0;4262;3.3;Bad
1643;1644;121.0;2.0;USA;30000000.0;46875468.0;196217;461.0;478.0;59000;777.0;455.0;221.0;219.0;1467;7.6;Good
669;670;99.0;0.0;USA;65000000.0;59617068.0;213863;310.0;313.0;59000;119.0;600.0;346.0;174.0;1375;6.4;Good
3489;3490;44.0;0.0;USA;2300000.0;;101902;665.0;96.0;6000;;4000.0;3000.0;970.0;7970;8.2;Excellent
4255;4256;152.0;0.0;UK;2000000.0;;67825;207.0;103.0;0;0.0;618.0;367.0;177.0;1404;7.7;Good
1073;1074;98.0;0.0;France;45000000.0;139852971.0;238671;461.0;358.0;63000;118.0;14000.0;935.0;558.0;16410;6.3;Good
4412;4413;103.0;1.0;USA;1500000.0;53991137.0;202800;752.0;445.0;60000;0.0;852.0;618.0;588.0;3030;6.8;Good
3448;3449;103.0;0.0;France;50000000.0;206400.0;1439;26.0;38.0;26;27.0;71.0;59.0;59.0;262;6.9;Good
4621;4622;138.0;6.0;USA;1000000.0;;293;1.0;;41;105.0;592.0;207.0;110.0;1350;3.4;Bad
1851;1852;105.0;0.0;USA;26000000.0;28501651.0;88035;201.0;217.0;10000;260.0;20000.0;15000.0;3000.0;42473;7.1;Good
2395;2396;105.0;1.0;USA;17000000.0;76400000.0;58743;192.0;110.0;0;12000.0;12000.0;664.0;643.0;14762;6.6;Good
3114;3115;97.0;0.0;Canada;10000000.0;52200504.0;54190;183.0;242.0;29000;482.0;852.0;542.0;482.0;2426;6.1;Good
239;240;136.0;1.0;USA;115000000.0;474544677.0;534658;3597.0;320.0;13000;0.0;20000.0;14000.0;1000.0;37723;6.5;Good
3205;3206;106.0;1.0;USA;10000000.0;1939441.0;55567;144.0;221.0;20000;34.0;11000.0;11000.0;683.0;23187;6.9;Good
1247;1248;155.0;2.0;USA;36000000.0;44175394.0;56509;227.0;77.0;0;14000.0;12000.0;11000.0;11000.0;37570;7.2;Good
2283;2284;102.0;2.0;UK;20000000.0;11169531.0;79855;235.0;248.0;0;1000.0;734.0;563.0;270.0;1778;6.4;Good
4969;4970;77.0;0.0;USA;100000.0;;80;1.0;5.0;82;0.0;45.0;0.0;0.0;45;7.6;Good
4480;4481;118.0;5.0;USA;1250000.0;;15840;124.0;74.0;0;673.0;595.0;176.0;137.0;1129;7.8;Good
4112;4113;173.0;3.0;USA;;;2011;33.0;10.0;518;;723.0;539.0;476.0;3149;5.0;Fair
4917;4918;105.0;0.0;USA;200000.0;;37;1.0;13.0;38;0.0;178.0;32.0;27.0;263;6.7;Good
3927;3928;96.0;0.0;USA;4000000.0;1325073.0;18762;91.0;114.0;708;101.0;730.0;394.0;71.0;1208;6.6;Good
954;955;99.0;1.0;USA;60000000.0;73701902.0;27548;209.0;105.0;0;148.0;2000.0;843.0;660.0;6729;5.2;Fair
584;585;132.0;0.0;USA;70000000.0;141204016.0;142569;737.0;191.0;10000;357.0;14000.0;223.0;212.0;14790;5.8;Fair
363;364;158.0;1.0;USA;90000000.0;102515793.0;330152;632.0;517.0;54000;21000.0;18000.0;1000.0;585.0;20388;7.8;Good
741;742;106.0;4.0;USA;60000000.0;75638743.0;180479;411.0;436.0;42000;0.0;13000.0;240.0;175.0;13634;6.6;Good
1255;1256;111.0;0.0;USA;40000000.0;38176892.0;104119;518.0;420.0;26000;0.0;2000.0;741.0;687.0;4486;6.2;Good
538;539;124.0;0.0;USA;75000000.0;68473360.0;49536;379.0;134.0;0;258.0;867.0;826.0;748.0;3424;5.9;Fair
4987;4988;93.0;0.0;USA;60000.0;;485;5.0;13.0;284;9.0;743.0;413.0;133.0;1527;3.4;Bad
529;530;99.0;2.0;USA;75000000.0;120776832.0;266103;456.0;147.0;11000;88.0;11000.0;427.0;328.0;12952;6.8;Good
4569;4570;100.0;0.0;USA;1000000.0;982214.0;1976;51.0;16.0;603;12.0;245.0;38.0;6.0;295;7.2;Good
970;971;95.0;1.0;USA;50000000.0;50150619.0;45580;102.0;156.0;18000;34.0;17000.0;995.0;679.0;19513;7.3;Good
2984;2985;113.0;0.0;Australia;12000000.0;4717455.0;18632;354.0;138.0;656;319.0;1000.0;65.0;48.0;1171;5.3;Fair
2177;2178;110.0;0.0;UK;20000000.0;56154094.0;44723;130.0;151.0;51000;17.0;11000.0;10000.0;418.0;21852;7.6;Good
925;926;130.0;2.0;USA;50000000.0;296623634.0;220758;919.0;299.0;13000;129.0;21000.0;17000.0;12000.0;64040;4.6;Fair
4967;4968;81.0;2.0;USA;100000.0;;101;1.0;5.0;17;0.0;416.0;18.0;10.0;459;3.6;Bad
1900;1901;101.0;0.0;USA;30000000.0;51097664.0;70205;450.0;180.0;0;21.0;22000.0;812.0;317.0;23328;5.9;Fair
314;315;95.0;0.0;USA;140000000.0;38120554.0;71527;217.0;127.0;0;63.0;23000.0;770.0;720.0;26940;7.1;Good
4513;4514;100.0;1.0;USA;1200000.0;;71;2.0;7.0;242;0.0;498.0;350.0;312.0;1810;4.2;Fair
2403;2404;94.0;10.0;USA;18000000.0;59573085.0;13562;103.0;156.0;19000;52.0;567.0;312.0;261.0;2259;6.1;Good
4847;4848;98.0;0.0;France;500000.0;;569;1.0;9.0;114;77.0;19.0;0.0;0.0;19;4.3;Fair
4269;4270;100.0;2.0;USA;2000000.0;6531491.0;111658;297.0;365.0;20000;81.0;34000.0;248.0;179.0;34446;7.2;Good
4149;4150;107.0;2.0;UK;2800000.0;;80961;310.0;154.0;7000;503.0;264.0;139.0;108.0;673;7.6;Good
3229;3230;83.0;0.0;USA;6200000.0;126247.0;24958;103.0;17.0;321;3.0;16000.0;542.0;421.0;17469;3.3;Bad
4069;4070;91.0;0.0;USA;2500000.0;15935068.0;19331;317.0;112.0;949;18.0;935.0;805.0;307.0;2899;4.3;Fair
3530;3531;108.0;4.0;USA;7000000.0;453079.0;4124;29.0;104.0;916;30.0;474.0;403.0;281.0;2029;5.9;Fair
842;843;92.0;0.0;USA;55000000.0;105263257.0;56168;103.0;53.0;5000;39.0;3000.0;562.0;458.0;4518;5.4;Fair
385;386;104.0;0.0;USA;90000000.0;47474112.0;58227;181.0;84.0;2000;81.0;3000.0;643.0;612.0;5062;5.4;Fair
1630;1631;107.0;1.0;USA;27800000.0;55210049.0;43743;293.0;98.0;0;0.0;12000.0;664.0;643.0;14710;5.4;Fair
2885;2886;118.0;4.0;USA;13000000.0;1150403.0;14143;102.0;129.0;0;41.0;2000.0;812.0;442.0;3474;7.1;Good
3005;3006;110.0;1.0;USA;12000000.0;175370.0;6884;133.0;42.0;458;18.0;13000.0;883.0;865.0;17417;4.6;Fair
418;419;97.0;1.0;UK;100000000.0;46440491.0;35446;78.0;190.0;0;6.0;1000.0;579.0;561.0;2707;7.1;Good
3977;3978;102.0;0.0;USA;3700000.0;2956000.0;3258;54.0;41.0;359;136.0;89.0;78.0;48.0;282;7.1;Good
3735;3736;100.0;0.0;USA;5000000.0;14343976.0;22961;291.0;129.0;1000;6.0;935.0;120.0;65.0;1327;4.5;Fair
3497;3498;103.0;0.0;USA;7000000.0;9094451.0;11668;79.0;31.0;0;49.0;687.0;554.0;304.0;1990;6.2;Good
3845;3846;108.0;0.0;USA;15000000.0;13060843.0;149528;454.0;202.0;0;0.0;22000.0;3000.0;346.0;26050;7.7;Good
2111;2112;104.0;0.0;USA;23500000.0;10696210.0;35018;180.0;75.0;716;87.0;1000.0;826.0;691.0;3148;3.9;Bad
2941;2942;93.0;2.0;USA;12000000.0;31155435.0;42644;102.0;34.0;0;58.0;995.0;729.0;722.0;6105;6.2;Good
4092;4093;89.0;1.0;USA;3000000.0;;128334;349.0;104.0;0;21.0;240.0;177.0;124.0;1011;7.8;Good
2928;2929;81.0;0.0;USA;12000000.0;63071133.0;42892;154.0;63.0;0;406.0;13000.0;2000.0;616.0;17035;6.8;Good
1272;1273;135.0;1.0;USA;40000000.0;29077547.0;41685;754.0;146.0;3000;0.0;3000.0;1000.0;715.0;5917;7.0;Good
2628;2629;183.0;2.0;UK;15000000.0;;232577;1026.0;140.0;11000;517.0;22000.0;11000.0;652.0;34025;8.2;Excellent
4986;4987;98.0;0.0;USA;65000.0;389804.0;11816;35.0;113.0;0;969.0;969.0;529.0;433.0;2530;6.3;Good
1198;1199;89.0;8.0;USA;45000000.0;90703745.0;93748;410.0;151.0;1000;119.0;2000.0;869.0;807.0;5855;5.1;Fair
3168;3169;94.0;10.0;USA;6000000.0;8828771.0;79146;352.0;180.0;25000;0.0;20000.0;14000.0;3000.0;41059;4.3;Fair
3888;3889;93.0;0.0;USA;4000000.0;39200000.0;192940;491.0;154.0;0;11000.0;11000.0;636.0;629.0;12691;8.1;Excellent
770;771;100.0;2.0;USA;60000000.0;43337279.0;76770;203.0;170.0;0;11000.0;10000.0;1000.0;485.0;12258;4.9;Fair
481;482;114.0;0.0;USA;90000000.0;50628009.0;22955;88.0;35.0;0;31.0;9000.0;496.0;372.0;10731;5.6;Fair
300;301;104.0;0.0;USA;100000000.0;75030163.0;108076;1690.0;170.0;0;14.0;3000.0;762.0;203.0;4487;5.1;Fair
2875;2876;120.0;0.0;France;13000000.0;4857376.0;63084;123.0;165.0;0;107.0;12000.0;530.0;280.0;13208;7.3;Good
196;197;100.0;0.0;USA;130000000.0;60522097.0;158720;744.0;349.0;37000;0.0;10000.0;943.0;894.0;14168;4.9;Fair
2089;2090;114.0;0.0;USA;22000000.0;50728000.0;48909;166.0;53.0;0;34.0;649.0;327.0;287.0;1725;5.8;Fair
899;900;128.0;0.0;Germany;55000000.0;7221458.0;20740;178.0;127.0;0;234.0;14000.0;12000.0;581.0;27614;6.2;Good
1056;1057;105.0;1.0;USA;100000000.0;103738726.0;47819;164.0;72.0;2000;631.0;678.0;631.0;327.0;2096;6.1;Good
4120;4121;100.0;1.0;USA;3000000.0;73678.0;266;8.0;8.0;348;27.0;1000.0;902.0;847.0;4374;5.9;Fair
1747;1748;167.0;0.0;USA;28000000.0;161029270.0;119928;331.0;349.0;76000;473.0;559.0;427.0;303.0;2702;7.9;Good
1032;1033;96.0;2.0;Canada;18000000.0;8742261.0;19824;179.0;103.0;0;43.0;841.0;342.0;77.0;1385;3.7;Bad
2530;2531;102.0;1.0;USA;16500000.0;59847242.0;55895;115.0;31.0;0;6.0;3000.0;2000.0;165.0;5433;6.8;Good
2805;2806;98.0;3.0;France;14000000.0;4291965.0;9334;59.0;108.0;447;176.0;543.0;113.0;15.0;678;6.7;Good
4643;4644;107.0;1.0;France;;439958.0;6277;43.0;76.0;0;32.0;144.0;127.0;127.0;509;5.9;Fair
3656;3657;133.0;0.0;France;6700000.0;;10119;124.0;64.0;0;287.0;343.0;94.0;28.0;502;7.9;Good
2815;2816;186.0;1.0;USA;14000000.0;46495.0;12053;119.0;116.0;0;50.0;13000.0;1000.0;338.0;14638;6.5;Good
512;513;136.0;1.0;USA;100000000.0;67286731.0;67856;345.0;140.0;0;394.0;24000.0;10000.0;1000.0;36925;6.7;Good
5034;5035;81.0;0.0;USA;7000.0;2040920.0;52055;130.0;56.0;0;0.0;121.0;20.0;6.0;147;6.9;Good
1285;1286;128.0;1.0;USA;60000000.0;22326247.0;11232;106.0;55.0;0;34.0;978.0;886.0;685.0;3821;5.9;Fair
566;567;97.0;0.0;USA;73000000.0;107225164.0;27130;126.0;141.0;14000;6.0;22000.0;1000.0;415.0;24350;6.3;Good
1805;1806;115.0;1.0;USA;27000000.0;60491560.0;50653;143.0;83.0;0;39.0;11000.0;956.0;685.0;14322;6.6;Good
3159;3160;87.0;1.0;USA;22000000.0;11560259.0;15617;180.0;63.0;0;13.0;15000.0;4000.0;869.0;22485;5.8;Fair
3685;3686;90.0;0.0;USA;;;605;8.0;22.0;679;4.0;934.0;697.0;290.0;2030;6.2;Good
1501;1502;121.0;1.0;Denmark;35000000.0;2221994.0;11747;99.0;50.0;561;55.0;1000.0;1000.0;918.0;3125;6.4;Good
4797;4798;60.0;4.0;USA;;;202115;379.0;75.0;0;;1000.0;923.0;833.0;4908;7.7;Good
1802;1803;110.0;0.0;USA;30000000.0;74888996.0;55513;188.0;112.0;0;120.0;12000.0;1000.0;664.0;16230;7.2;Good
2312;2313;94.0;0.0;Canada;20000000.0;5132655.0;37626;521.0;148.0;1000;892.0;310.0;294.0;81.0;838;2.3;Bad
4724;4725;86.0;0.0;USA;500000.0;39552600.0;3411;36.0;5.0;816;24.0;407.0;189.0;142.0;1090;6.1;Good
2027;2028;100.0;2.0;USA;24000000.0;39989008.0;55398;418.0;125.0;891;41.0;45000.0;1000.0;970.0;49847;4.6;Fair
4211;4212;120.0;10.0;USA;2400000.0;5731103.0;4100;35.0;28.0;352;0.0;1000.0;748.0;702.0;5963;6.8;Good
2243;2244;104.0;0.0;USA;20000000.0;23393765.0;31323;76.0;98.0;0;19.0;15000.0;989.0;942.0;18760;6.3;Good
760;761;124.0;3.0;USA;60000000.0;56443482.0;75329;256.0;315.0;24000;737.0;34000.0;22000.0;14000.0;75793;6.6;Good
4298;4299;;2.0;India;;;275;1.0;1.0;10;4.0;353.0;89.0;72.0;613;2.8;Bad
937;938;116.0;2.0;USA;50000000.0;105807520.0;156717;357.0;140.0;0;80.0;11000.0;1000.0;651.0;14087;6.4;Good
78;79;106.0;0.0;UK;175000000.0;362645141.0;106072;398.0;370.0;65000;4000.0;19000.0;13000.0;591.0;32921;7.8;Good
4081;4082;109.0;1.0;USA;3000000.0;8114507.0;95362;270.0;405.0;62000;0.0;140.0;63.0;48.0;328;7.9;Good
1163;1164;119.0;0.0;USA;32000000.0;35228696.0;63677;460.0;166.0;0;89.0;650.0;537.0;395.0;1651;6.5;Good
4250;4251;100.0;0.0;USA;2000000.0;14673301.0;112899;631.0;533.0;45000;421.0;314.0;189.0;159.0;1062;6.9;Good
3984;3985;88.0;0.0;USA;3500000.0;83400000.0;160281;427.0;134.0;16000;104.0;628.0;575.0;318.0;2726;7.8;Good
392;393;140.0;0.0;USA;87000000.0;120147445.0;57661;455.0;175.0;0;378.0;12000.0;947.0;599.0;13808;7.3;Good
371;372;106.0;0.0;USA;88000000.0;78747585.0;89770;342.0;253.0;39000;0.0;22000.0;11000.0;1000.0;35367;5.6;Fair
908;909;172.0;1.0;USA;55000000.0;22843047.0;6082;207.0;78.0;853;438.0;852.0;637.0;466.0;2397;5.9;Fair
706;707;93.0;2.0;USA;61000000.0;118153533.0;129995;246.0;191.0;0;8.0;8000.0;1000.0;970.0;13232;6.3;Good
1833;1834;133.0;1.0;USA;26000000.0;109243478.0;313797;546.0;217.0;0;0.0;7000.0;966.0;218.0;8341;7.1;Good
1644;1645;124.0;0.0;USA;30000000.0;52418902.0;147128;277.0;305.0;44000;845.0;15000.0;1000.0;424.0;16881;7.5;Good
2035;2036;87.0;0.0;USA;24000000.0;16290976.0;14637;100.0;70.0;619;25.0;1000.0;670.0;611.0;3243;6.2;Good
422;423;106.0;1.0;USA;85000000.0;64933670.0;70838;208.0;382.0;18000;763.0;8000.0;886.0;809.0;11454;5.6;Fair
2486;2487;170.0;1.0;USA;17000000.0;72000000.0;66959;258.0;82.0;0;165.0;453.0;272.0;244.0;1164;7.9;Good
4679;4680;101.0;0.0;USA;750000.0;77501.0;27260;247.0;292.0;0;243.0;969.0;128.0;74.0;1252;5.5;Fair
4966;4967;68.0;3.0;USA;;;67;9.0;1.0;10;2.0;142.0;86.0;75.0;354;7.1;Good
4355;4356;87.0;0.0;France;1800000.0;40990055.0;41509;300.0;311.0;0;13.0;463.0;400.0;308.0;1958;5.6;Fair
2230;2231;75.0;0.0;USA;9000000.0;23078294.0;25870;281.0;112.0;0;19.0;1000.0;934.0;806.0;3590;5.1;Fair
2260;2261;84.0;0.0;USA;20000000.0;15712072.0;13210;138.0;77.0;269;2.0;787.0;555.0;472.0;2915;5.8;Fair
2951;2952;55.0;2.0;USA;;;173172;302.0;68.0;31000;;1000.0;939.0;898.0;6091;8.6;Excellent
1455;1456;103.0;0.0;USA;35000000.0;30669413.0;105478;291.0;119.0;0;81.0;2000.0;683.0;636.0;4722;6.2;Good
3664;3665;141.0;1.0;India;;352684.0;4633;31.0;23.0;365;2.0;634.0;284.0;61.0;1065;4.3;Fair
2505;2506;105.0;0.0;USA;;21160089.0;8522;92.0;54.0;874;49.0;680.0;503.0;104.0;1538;6.0;Fair
1526;1527;85.0;0.0;Belgium;34000000.0;4091.0;4265;16.0;60.0;0;0.0;324.0;15.0;11.0;369;6.3;Good
4053;4054;120.0;2.0;Germany;4000000.0;21244913.0;123090;888.0;215.0;4000;909.0;909.0;504.0;184.0;1779;8.0;Good
1460;1461;101.0;0.0;USA;35000000.0;25863915.0;28257;151.0;211.0;11000;357.0;907.0;445.0;374.0;2471;5.1;Fair
307;308;240.0;3.0;USA;100000000.0;116866727.0;780588;1138.0;606.0;138000;17000.0;29000.0;11000.0;4000.0;46057;8.2;Excellent
5022;5023;88.0;2.0;USA;15000.0;76382.0;1194;8.0;22.0;324;38.0;331.0;212.0;211.0;1546;6.2;Good
4156;4157;102.0;3.0;USA;2800000.0;22202612.0;291875;533.0;213.0;14000;149.0;695.0;421.0;357.0;2509;8.1;Excellent
4623;4624;83.0;1.0;USA;;;6531;47.0;95.0;0;224.0;224.0;59.0;37.0;344;4.7;Fair
4363;4364;109.0;0.0;USA;;841206.0;2603;34.0;68.0;952;0.0;553.0;471.0;186.0;1439;6.3;Good
2682;2683;122.0;3.0;UK;15000000.0;17237244.0;57210;158.0;291.0;13000;210.0;22000.0;164.0;123.0;22574;6.8;Good
2677;2678;108.0;2.0;USA;15000000.0;24984868.0;50056;152.0;172.0;0;79.0;775.0;614.0;537.0;3033;6.3;Good
4200;4201;100.0;7.0;USA;2500000.0;118666.0;91;3.0;3.0;144;10.0;655.0;157.0;107.0;1064;6.6;Good
2577;2578;95.0;0.0;USA;15000000.0;4193025.0;30682;194.0;42.0;0;89.0;1000.0;852.0;322.0;2518;6.8;Good
4321;4322;83.0;0.0;USA;2000000.0;;9280;64.0;25.0;0;0.0;413.0;167.0;107.0;1149;5.5;Fair
4151;4152;90.0;1.0;Australia;;;4173;32.0;57.0;0;18.0;130.0;96.0;39.0;362;6.1;Good
4184;4185;98.0;0.0;USA;2500000.0;;23546;92.0;74.0;819;11.0;595.0;521.0;450.0;2373;6.3;Good
1728;1729;110.0;4.0;France;24000000.0;;3279;22.0;7.0;0;18.0;922.0;919.0;432.0;2725;2.0;Bad
1978;1979;133.0;2.0;UK;28000000.0;11030963.0;24145;93.0;44.0;0;277.0;25000.0;14000.0;8000.0;48482;7.1;Good
2434;2435;122.0;0.0;UK;30000000.0;17750583.0;93548;307.0;412.0;23000;0.0;14000.0;13000.0;816.0;28933;7.2;Good
969;970;144.0;0.0;USA;50000000.0;52822418.0;47764;219.0;204.0;44000;0.0;769.0;726.0;681.0;3580;7.4;Good
3772;3773;110.0;0.0;USA;5000000.0;4040588.0;12233;89.0;109.0;0;19.0;25000.0;579.0;39.0;25676;6.8;Good
1506;1507;148.0;0.0;Mexico;;5100937.0;68885;127.0;288.0;29000;0.0;30.0;9.0;7.0;50;7.5;Good
4006;4007;103.0;0.0;Norway;19900000.0;252652.0;54104;199.0;337.0;38000;12.0;29.0;4.0;4.0;44;7.0;Good
2441;2442;112.0;0.0;USA;18000000.0;7837632.0;46396;287.0;124.0;0;0.0;805.0;223.0;177.0;1466;7.5;Good
1389;1390;130.0;0.0;USA;36000000.0;13052741.0;8531;57.0;31.0;591;0.0;2000.0;912.0;723.0;3968;6.7;Good
1489;1490;139.0;0.0;USA;32000000.0;13303319.0;136367;975.0;584.0;39000;0.0;11000.0;1000.0;687.0;13021;6.7;Good
1963;1964;101.0;1.0;USA;25000000.0;14095303.0;15814;68.0;50.0;503;17.0;900.0;246.0;218.0;1634;5.4;Fair
4125;4126;83.0;1.0;USA;3000000.0;;7358;39.0;58.0;0;8.0;798.0;634.0;617.0;4756;5.3;Fair
3777;3778;116.0;2.0;USA;5000000.0;1980338.0;12366;151.0;81.0;507;52.0;624.0;385.0;102.0;1209;7.0;Good
657;658;158.0;1.0;USA;61000000.0;148775460.0;243834;845.0;488.0;144000;0.0;20000.0;13000.0;11000.0;46204;7.6;Good
480;481;96.0;0.0;USA;80000000.0;56684819.0;103787;615.0;124.0;3000;25.0;891.0;639.0;102.0;1919;5.9;Fair
1181;1182;102.0;6.0;USA;42000000.0;18600911.0;125198;153.0;258.0;11000;20.0;107.0;81.0;54.0;362;6.6;Good
3354;3355;178.0;1.0;USA;8000000.0;107930000.0;1324680;2195.0;215.0;45000;16000.0;13000.0;902.0;857.0;16557;8.9;Excellent
4628;4629;93.0;2.0;USA;1000000.0;;2057;30.0;150.0;0;3.0;214.0;211.0;115.0;656;3.5;Bad
2543;2544;106.0;0.0;USA;16000000.0;52885587.0;35312;267.0;67.0;0;48.0;23000.0;255.0;35.0;23369;6.4;Good
